Ward name,Median Household income estimate
Waltham Forest - Leytonstone,38700
Waltham Forest - Markhouse,33780
Waltham Forest - Valley,34250
Waltham Forest - William Morris,35070
Waltham Forest - Wood Street,35130
Wandsworth - Balham,53420
Wandsworth - Bedford,46410
Wandsworth - Earlsfield,44360
Wandsworth - East Putney,49010
Wandsworth - Fairfield,48590
Wandsworth - Furzedown,38240
Wandsworth - Graveney,37960
Wandsworth - Latchmere,34990
Wandsworth - Nightingale,50790
Wandsworth - Northcote,55810
Wandsworth - Queenstown,39580
Wandsworth - Roehampton,30320
Wandsworth - St. Mary's Park,44720
Wandsworth - Shaftesbury,50410
Wandsworth - Southfields,48160
Wandsworth - Thamesfield,55380
Wandsworth - Tooting,36000
Wandsworth - Wandsworth Common,51420
Wandsworth - West Hill,40360
Wandsworth - West Putney,43280
Westminster - Abbey Road,52200
Westminster - Bayswater,49960
Westminster - Bryanston and Dorset Square,51370
Westminster - Churchill,39530
Westminster - Church Street,26290
Westminster - Harrow Road,35000
Westminster - Hyde Park,46880
Westminster - Knightsbridge and Belgravia,88330
Westminster - Lancaster Gate,49290
Westminster - Little Venice,48770
Westminster - Maida Vale,45660
Westminster - Marylebone High Street,58370
Westminster - Queen's Park,32260
Westminster - Regent's Park,46510
Westminster - St. James's,52520
Westminster - Tachbrook,47340
Westminster - Vincent Square,46550
Westminster - Warwick,50250
Westminster - Westbourne,32390
Westminster - West End,54970
City of London,63620
Barking and Dagenham,34080
Barnet,54530
Bexley,44430
Brent,39630
Bromley,55140
Camden,67990
Croydon,45120
Ealing,45690
Enfield,41250
Greenwich,44370
Hackney,42690
Hammersmith and Fulham,62910
Haringey,45860
Harrow,49060
Havering,44430
Hillingdon,44950
Hounslow,44490
Islington,54950
Kensington and Chelsea,116350
Kingston upon Thames,56920
Lambeth,48610
Lewisham,43360
Merton,57160
Newham,34260
Redbridge,45380
Richmond upon Thames,76610
Southwark,48000
Sutton,49170
Tower Hamlets,45720
Waltham Forest,39460
Wandsworth,66220
Westminster,80760
London,51770
England,30763.3
